		DevYear1	DevYear2	DevYear3	DevYear4	DevYear5	DevYear6	DevYear7	DevYear8	DevYear9	DevYear10	DevYear11	DevYear12	DevYear13	DevYear14	DevYear15	DevYear16	DevYear17	DevYear18
1974		267		1975		4587		7375		10661		15232		17888		18541		18937		19130		19189		19209		19234		19234		19246		19246		19246		19246
1975		310		2809		5686		9386		14884		20654		22017		22529		22772		22821		23042		23060		23127		23127		23127		23127		23159		NA
1976		370		2744		7281		13287		19773		23888		25174		25819		26049		26180		26268		26364		26371		26379		26397		26397		NA		NA
1977		577		3877		9612		16962		23764		26712		28393		29656		29839		29944		29997		29999		29999		30049		30049		NA		NA		NA
1978		509		4518		12067		21218		27194		29617		30854		31240		31598		31889		32002		31947		31965		31986		NA		NA		NA		NA
1979		630		5763		16372		24105		29091		32531		33878		34185		34290		34420		34479		34498		34524		NA		NA		NA		NA		NA
1980		1078		8066		17518		26091		31807		33883		34820		35482		35607		35937		35957		35962		NA		NA		NA		NA		NA		NA
1981		1646		9378		18034		26652		31253		33376		34287		34985		35122		35161		35172		NA		NA		NA		NA		NA		NA		NA
1982		1754		11256		20624		27857		31360		33331		34061		34227		34317		34378		NA		NA		NA		NA		NA		NA		NA		NA
1983		1997		10628		21015		29014		33788		36329		37446		37571		37681		NA		NA		NA		NA		NA		NA		NA		NA		NA
1984		2164		11538		21549		29167		34440		36528		36950		37099		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA
1985		1922		10939		21357		28488		32982		35330		36059		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA
1986		1962		13053		27869		38560		44461		45988		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA
1987		2329		18086		38099		51953		58029		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA
1988		3343		24806		52054		66203		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA
1989		3847		34171		59232		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA
1990		6090		33392		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA
1991		5451		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA

