		DevYear1	DevYear2	DevYear3	DevYear4	DevYear5	DevYear6	DevYear7	DevYear8	DevYear9	DevYear10	
1981		5012		3257		2638		898		1734		2642		1828		599		54		172
1982		106		4179		1111		5270		3116		1817		-103		673		535		NA
1983		3410		5582		4881		2268		2594		3479		649		603		NA		NA
1984		5655		5900		4211		5500		2159		2658		984		NA		NA		NA
1985		1092		8473		6271		6333		3786		225		NA		NA		NA		NA
1986		1513		4932		5257		1233		2917		NA		NA		NA		NA		NA
1987		557		3463		6926		1368		NA		NA		NA		NA		NA		NA
1988		1351		5596		6165		NA		NA		NA		NA		NA		NA		NA
1989		3133		2262		NA		NA		NA		NA		NA		NA		NA		NA
1990		2063		NA		NA		NA		NA		NA		NA		NA		NA		NA
